Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/deutscher-name-des-informationstraegertyps-breadcrumb,Deutscher Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/properties/deutscher-name-des-ortes,Deutscher Name Des Ortes,,
Property,http://arkumu.org/properties/deutsches-wikidata-label,Deutsches Wikidata Label,Keyword_deu,
Property,http://arkumu.org/properties/digitales-objekt,Digitales Objekt,,
Property,http://arkumu.org/properties/digitales-objekt-id,Digitales Objekt Id,DAT_ID,vor allem in „Datensatz Id Beim Einlieferer“
Property,http://arkumu.org/properties/digitales-objekt-lizenz-id,Digitales Objekt Lizenz Id,,
Property,http://arkumu.org/properties/eigenschaft,Eigenschaft,,
Property,http://arkumu.org/properties/eigentuemerin,Eigentuemerin,,
Property,http://arkumu.org/properties/einheit,Einheit,,
Property,http://arkumu.org/properties/einlieferer,Einlieferer,,
Property,http://arkumu.org/properties/einliefernde-hochschule,Einliefernde Hochschule,_globale_Exportvariablen_arkumu_Einliefernde Hochschule,
Property,http://arkumu.org/properties/einliefernde-hochschule-id,Einliefernde Hochschule Id,,
Property,http://arkumu.org/properties/englische-beschreibung,Englische Beschreibung,"Kurzinformation_engl,Beschreibung_EN",
Property,http://arkumu.org/properties/englische-bezeichnung,Englische Bezeichnung,,
Property,http://arkumu.org/properties/englische-bezeichnung-des-lizenzvertrags,Englische Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/properties/englische-inhaltliche-beschreibung,Englische Inhaltliche Beschreibung,Description_EN_verkettet,wird bei RB nur für d.o. benutzt
Property,http://arkumu.org/properties/englische-kurzbiografie,Englische Kurzbiografie,,
Property,http://arkumu.org/properties/englische-produkt-bezeichnung,Englische Produkt Bezeichnung,Equipment_eng,
Property,http://arkumu.org/properties/englischer-anzeigetext,Englischer Anzeigetext,,
Property,http://arkumu.org/properties/englischer-kommentar,Englischer Kommentar,,
Property,http://arkumu.org/properties/englischer-name,Englischer Name,,
Property,http://arkumu.org/properties/englischer-name-der-einliefernden-hochschule,Englischer Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/properties/englischer-name-der-equipmentart,Englischer Name Der Equipmentart,Equipmentart_eng,
Property,http://arkumu.org/properties/englischer-name-der-ereigniseigenschaft,Englischer Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/properties/englischer-name-der-informationstraegereigenschaft,Englischer Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/properties/englischer-name-der-lizenz,Englischer Name Der Lizenz,,
Property,http://arkumu.org/properties/englischer-name-der-nummernart,Englischer Name Der Nummernart,,
Property,http://arkumu.org/properties/englischer-name-der-organisationseinheit-breadcrumb,Englischer Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/properties/englischer-name-der-projektart,Englischer Name Der Projektart,,
Property,http://arkumu.org/properties/englischer-name-der-projekteigenschaft,Englischer Name Der Projekteigenschaft,,
Property,http://arkumu.org/properties/englischer-name-der-projektkategorie-breadcrumb,Englischer Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/properties/englischer-name-der-rolle-breadcrumb,Englischer Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/properties/englischer-name-der-sammlung,Englischer Name Der Sammlung,,
Property,http://arkumu.org/properties/englischer-name-der-sprache,Englischer Name Der Sprache,,
Property,http://arkumu.org/properties/englischer-name-des-ereignistyps,Englischer Name Des Ereignistyps,,
Property,http://arkumu.org/properties/englischer-name-des-informationstraegertyps-breadcrumb,Englischer Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/properties/entstehung,Entstehung,Entstehung,
Property,http://arkumu.org/properties/eq,Eq,,
Property,http://arkumu.org/properties/equipment-und-software,Equipment Und Software,,
Property,http://arkumu.org/properties/equipment-und-software-id,Equipment Und Software Id,,
Property,http://arkumu.org/properties/equipmentart,Equipmentart,,
Property,http://arkumu.org/properties/equipmentart-id,Equipmentart Id,,
Property,http://arkumu.org/properties/ereignis,Ereignis,,
Property,http://arkumu.org/properties/ereignis-ereignis-id,Ereignis Ereignis Id,,
Property,http://arkumu.org/properties/ereignis-ereigniseigenschaft-id,Ereignis Ereigniseigenschaft Id,,
Property,http://arkumu.org/properties/ereignis-id,Ereignis Id,,
Property,http://arkumu.org/properties/ereignisbeginn,Ereignisbeginn,"Entstehungsjahr,Ausz_Anfang,Eventanfangsdatum_ISO",
Property,http://arkumu.org/properties/ereignisbeginn-geschaetzt,Ereignisbeginn Geschaetzt,,
Property,http://arkumu.org/properties/ereignisbeschreibung,Ereignisbeschreibung,"_EreignisHerstellungBeschreibung_verkettet,_Beschreibung_verkettet,website",
