Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/data/properties/deutsche-bezeichnung-des-lizenzvertrags,Deutsche Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/data/properties/deutsche-inhaltliche-beschreibung,Deutsche Inhaltliche Beschreibung,"Description_DE_verkettet,Projekte_Material_Titel_calc",wird bei RB nur für d.o. benutzt
Property,http://arkumu.org/data/properties/deutsche-kurzbiografie,Deutsche Kurzbiografie,,
Property,http://arkumu.org/data/properties/deutsche-produkt-bezeichnung,Deutsche Produkt Bezeichnung,Equipment_deu,
Property,http://arkumu.org/data/properties/deutscher-anzeigetext,Deutscher Anzeigetext,,
Property,http://arkumu.org/data/properties/deutscher-kommentar,Deutscher Kommentar,,
Property,http://arkumu.org/data/properties/deutscher-name,Deutscher Name,Name_gesamt_natürlicheReihenfolge_calc_export,
Property,http://arkumu.org/data/properties/deutscher-name-der-einliefernden-hochschule,Deutscher Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/data/properties/deutscher-name-der-equipmentart,Deutscher Name Der Equipmentart,Equipmentart_deu,
Property,http://arkumu.org/data/properties/deutscher-name-der-ereigniseigenschaft,Deutscher Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-informationstraegereigenschaft,Deutscher Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-lizenz,Deutscher Name Der Lizenz,,
Property,http://arkumu.org/data/properties/deutscher-name-der-nummernart,Deutscher Name Der Nummernart,,
Property,http://arkumu.org/data/properties/deutscher-name-der-organisationseinheit-breadcrumb,Deutscher Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-projektart,Deutscher Name Der Projektart,Projektart_calc,
Property,http://arkumu.org/data/properties/deutscher-name-der-projekteigenschaft,Deutscher Name Der Projekteigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-projektkategorie-breadcrumb,Deutscher Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-rolle-breadcrumb,Deutscher Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-sammlung,Deutscher Name Der Sammlung,,
Property,http://arkumu.org/data/properties/deutscher-name-der-sprache,Deutscher Name Der Sprache,,
Property,http://arkumu.org/data/properties/deutscher-name-des-ereignistyps,Deutscher Name Des Ereignistyps,,
Property,http://arkumu.org/data/properties/deutscher-name-des-informationstraegertyps-breadcrumb,Deutscher Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-des-ortes,Deutscher Name Des Ortes,,
Property,http://arkumu.org/data/properties/deutsches-wikidata-label,Deutsches Wikidata Label,Keyword_deu,
Property,http://arkumu.org/data/properties/deutscher-name-des-schlagworts,Deutscher Name Des Schlagworts,Keyword_deu,
Property,http://arkumu.org/data/properties/digitales-objekt,Digitales Objekt,DAT_ID,
Property,http://arkumu.org/data/properties/digitales-objekt-id,Digitales Objekt Id,
Property,http://arkumu.org/data/properties/digitales-objekt-lizenz-id,Digitales Objekt Lizenz Id,,
Property,http://arkumu.org/data/properties/eigenschaft,Eigenschaft,,
Property,http://arkumu.org/data/properties/eigentuemerin,Eigentuemerin,,
Property,http://arkumu.org/data/properties/einheit,Einheit,,
