Type,Target,Label,Name,Anmerkung HMT
Property,http://arkumu.org/data/properties/deutscher-name-der-ereigniseigenschaft,Deutscher Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-informationstraegereigenschaft,Deutscher Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-lizenz,Deutscher Name Der Lizenz,,
Property,http://arkumu.org/data/properties/deutscher-name-der-nummernart,Deutscher Name Der Nummernart,,
Property,http://arkumu.org/data/properties/deutscher-name-der-organisationseinheit-breadcrumb,Deutscher Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-projektart,Deutscher Name Der Projektart,Projektart_calc,
Property,http://arkumu.org/data/properties/deutscher-name-der-projekteigenschaft,Deutscher Name Der Projekteigenschaft,,
Property,http://arkumu.org/data/properties/deutscher-name-der-projektkategorie-breadcrumb,Deutscher Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-rolle-breadcrumb,Deutscher Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-der-sammlung,Deutscher Name Der Sammlung,,
Property,http://arkumu.org/data/properties/deutscher-name-der-sprache,Deutscher Name Der Sprache,,
Property,http://arkumu.org/data/properties/deutscher-name-des-ereignistyps,Deutscher Name Des Ereignistyps,,
Property,http://arkumu.org/data/properties/deutscher-name-des-informationstraegertyps-breadcrumb,Deutscher Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/data/properties/deutscher-name-des-ortes,Deutscher Name Des Ortes,,
Property,http://arkumu.org/data/properties/deutsches-wikidata-label,Deutsches Wikidata Label,,
Property,http://arkumu.org/data/properties/digitales-objekt,Digitales Objekt,DigitalesObjekt_ID_fk,
Property,http://arkumu.org/data/properties/digitales-objekt-id,Digitales Objekt Id,,
Property,http://arkumu.org/data/properties/digitales-objekt-lizenz-id,Digitales Objekt Lizenz Id,,
Property,http://arkumu.org/data/properties/eigenschaft,Eigenschaft,,
Property,http://arkumu.org/data/properties/eigentuemerin,Eigentuemerin,,
Property,http://arkumu.org/data/properties/einheit,Einheit,,
Property,http://arkumu.org/data/properties/einlieferer,Einlieferer,,
Property,http://arkumu.org/data/properties/einliefernde-hochschule,Einliefernde Hochschule,Einliefernde Hochschule,
Property,http://arkumu.org/data/properties/einliefernde-hochschule-id,Einliefernde Hochschule Id,,
Property,http://arkumu.org/data/properties/englische-beschreibung,Englische Beschreibung,,
Property,http://arkumu.org/data/properties/englische-bezeichnung,Englische Bezeichnung,,
Property,http://arkumu.org/data/properties/englische-bezeichnung-des-lizenzvertrags,Englische Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/data/properties/englische-inhaltliche-beschreibung,Englische Inhaltliche Beschreibung,,
Property,http://arkumu.org/data/properties/englische-kurzbiografie,Englische Kurzbiografie,,
Property,http://arkumu.org/data/properties/englische-produkt-bezeichnung,Englische Produkt Bezeichnung,,
Property,http://arkumu.org/data/properties/englischer-anzeigetext,Englischer Anzeigetext,,
Property,http://arkumu.org/data/properties/englischer-kommentar,Englischer Kommentar,,
Property,http://arkumu.org/data/properties/englischer-name,Englischer Name,,
Property,http://arkumu.org/data/properties/englischer-name-der-einliefernden-hochschule,Englischer Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/data/properties/englischer-name-der-equipmentart,Englischer Name Der Equipmentart,,
Property,http://arkumu.org/data/properties/englischer-name-der-ereigniseigenschaft,Englischer Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-informationstraegereigenschaft,Englischer Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-lizenz,Englischer Name Der Lizenz,,
Property,http://arkumu.org/data/properties/englischer-name-der-nummernart,Englischer Name Der Nummernart,,
Property,http://arkumu.org/data/properties/englischer-name-der-organisationseinheit-breadcrumb,Englischer Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-projektart,Englischer Name Der Projektart,,
Property,http://arkumu.org/data/properties/englischer-name-der-projekteigenschaft,Englischer Name Der Projekteigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-projektkategorie-breadcrumb,Englischer Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-rolle-breadcrumb,Englischer Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-sammlung,Englischer Name Der Sammlung,,
Property,http://arkumu.org/data/properties/englischer-name-der-sprache,Englischer Name Der Sprache,,
Property,http://arkumu.org/data/properties/englischer-name-des-ereignistyps,Englischer Name Des Ereignistyps,,
Property,http://arkumu.org/data/properties/englischer-name-des-informationstraegertyps-breadcrumb,Englischer Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/data/properties/entstehung,Entstehung,Entstehung,
Property,http://arkumu.org/data/properties/eq,Eq,,
Property,http://arkumu.org/data/properties/equipment-und-software,Equipment Und Software,,
Property,http://arkumu.org/data/properties/equipment-und-software-id,Equipment Und Software Id,,
Property,http://arkumu.org/data/properties/equipmentart,Equipmentart,,
Property,http://arkumu.org/data/properties/equipmentart-id,Equipmentart Id,,
Property,http://arkumu.org/data/properties/ereignis,Ereignis,"Ereignis_Nr_fk,EreignisNr",
Property,http://arkumu.org/data/properties/ereignis-ereignis-id,Ereignis Ereignis Id,,
Property,http://arkumu.org/data/properties/ereignis-ereigniseigenschaft-id,Ereignis Ereigniseigenschaft Id,,
Property,http://arkumu.org/data/properties/ereignis-id,Ereignis Id,,
Property,http://arkumu.org/data/properties/ereignisbeginn,Ereignisbeginn,EreignisDatum_Beginn_ISO,
Property,http://arkumu.org/data/properties/ereignisbeginn-geschaetzt,Ereignisbeginn Geschaetzt,,
Property,http://arkumu.org/data/properties/ereignisbeschreibung,Ereignisbeschreibung,,
Property,http://arkumu.org/data/properties/ereignisbeschreibung-id,Ereignisbeschreibung Id,,
Property,http://arkumu.org/data/properties/ereigniseigenschaft-id,Ereigniseigenschaft Id,,
Property,http://arkumu.org/data/properties/ereignisende,Ereignisende,EreignisDatum_Ende_ISO,
Property,http://arkumu.org/data/properties/ereignisende-geschaetzt,Ereignisende Geschaetzt,,
Property,http://arkumu.org/data/properties/ereignisname,Ereignisname,Ereignis_DeutscherName,
Property,http://arkumu.org/data/properties/ereignisort,Ereignisort,,
Property,http://arkumu.org/data/properties/ereignistyp,Ereignistyp,Ereignistyp,
Property,http://arkumu.org/data/properties/ereignistyp-id,Ereignistyp Id,,
Property,http://arkumu.org/data/properties/erhaltungstyp,Erhaltungstyp,Erhaltungstyp,
Property,http://arkumu.org/data/properties/erhaltungszustand-deutsch,Erhaltungszustand Deutsch,,
Property,http://arkumu.org/data/properties/erhaltungszustand-englisch,Erhaltungszustand Englisch,,
Property,http://arkumu.org/data/properties/externe-inventar-signaturnummer,Externe Inventar Signaturnummer,Informationsträger_Externe InventarSignaturnummer,
Property,http://arkumu.org/data/properties/externe-projektwebseite,Externe Projektwebseite,,
Property,http://arkumu.org/data/properties/filmportal-kategorie-id,Filmportal Kategorie Id,,
Property,http://arkumu.org/data/properties/fruehestes-geburtsdatum,Fruehestes Geburtsdatum,,
Property,http://arkumu.org/data/properties/fruehestes-sterbedatum,Fruehestes Sterbedatum,,
Property,http://arkumu.org/data/properties/geburtsort,Geburtsort,,
Property,http://arkumu.org/data/properties/geschlecht,Geschlecht,,
Property,http://arkumu.org/data/properties/gnd-nummer,Gnd Nummer,"GND-Nummer,GND",
Property,http://arkumu.org/data/properties/gnd-nummer-gruppe,Gnd Nummer Gruppe,,
Property,http://arkumu.org/data/properties/gnd-nummer-maennlich,Gnd Nummer Maennlich,,
Property,http://arkumu.org/data/properties/gnd-nummer-weiblich,Gnd Nummer Weiblich,,
Property,http://arkumu.org/data/properties/gruendungsort,Gruendungsort,,
Property,http://arkumu.org/data/properties/hersteller,Hersteller,,
Property,http://arkumu.org/data/properties/im-ereignis,Im Ereignis,,
Property,http://arkumu.org/data/properties/informationstraeger,Informationstraeger,,
Property,http://arkumu.org/data/properties/informationstraeger-id,Informationstraeger Id,,
Property,http://arkumu.org/data/properties/informationstraeger-informationstraegereigenschaft-id,Informationstraeger Informationstraegereigenschaft Id,,
Property,http://arkumu.org/data/properties/informationstraeger-produkt-id-id,Informationstraeger Produkt Id Id,,
Property,http://arkumu.org/data/properties/informationstraegereigenschaft-id,Informationstraegereigenschaft Id,,
Property,http://arkumu.org/data/properties/informationstraegertyp,Informationstraegertyp,,
Property,http://arkumu.org/data/properties/informationstraegertyp-id,Informationstraegertyp Id,,
Property,http://arkumu.org/data/properties/inhaltswarnung,Inhaltswarnung,,
Property,http://arkumu.org/data/properties/interner-kommentar,Interner Kommentar,"Interner Kommentar,EreignisInterner Kommentar",
Property,http://arkumu.org/data/properties/iso-639-1-code,Iso 639 1 Code,,
Property,http://arkumu.org/data/properties/iso-639-2b-code,Iso 639 2B Code,,
Property,http://arkumu.org/data/properties/iso-639-2t-code,Iso 639 2T Code,,
Property,http://arkumu.org/data/properties/ist-urheberin,Ist Urheberin,,
Property,http://arkumu.org/data/properties/khm-internetfreigabestufe,Khm Internetfreigabestufe,,
Property,http://arkumu.org/data/properties/klassifizierendes-schlagwort,Klassifizierendes Schlagwort,,
Property,http://arkumu.org/data/properties/kompilation,Kompilation,,
Property,http://arkumu.org/data/properties/kompilations-reihennummer,Kompilations Reihennummer,,
Property,http://arkumu.org/data/properties/kompilationstitel,Kompilationstitel,,
Property,http://arkumu.org/data/properties/kurzbeschreibung-deutsch,Kurzbeschreibung Deutsch,,
Property,http://arkumu.org/data/properties/kurzbeschreibung-englisch,Kurzbeschreibung Englisch,,
Property,http://arkumu.org/data/properties/label-handelsmarke,Label Handelsmarke,,
Property,http://arkumu.org/data/properties/lccn-id,Lccn Id,LOC,
Property,http://arkumu.org/data/properties/letzte-datensatzmodifikation-beim-einlieferer,Letzte Datensatzmodifikation Beim Einlieferer,__SQL_TS_LastModified,
Property,http://arkumu.org/data/properties/letzte-projektmodifikation-beim-einlieferer,Letzte Projektmodifikation Beim Einlieferer,,
Property,http://arkumu.org/data/properties/lido-terminologie-id,Lido Terminologie Id,,
Property,http://arkumu.org/data/properties/lizenzstatus,Lizenzstatus,_arkumu_Lizenzstatus,
Property,http://arkumu.org/data/properties/masse,Masse,,
Property,http://arkumu.org/data/properties/materialschlagwort,Materialschlagwort,,
Property,http://arkumu.org/data/properties/materialschlagwort-id,Materialschlagwort Id,,
Property,http://arkumu.org/data/properties/medientyp,Medientyp,,
Property,http://arkumu.org/data/properties/nachgestellter-titel,Nachgestellter Titel,,
Property,http://arkumu.org/data/properties/neuer-lizenzvertrag-digi-kunst-formular,Neuer Lizenzvertrag Digi Kunst Formular,,
Property,http://arkumu.org/data/properties/nicht-oeffentlicher-name,Nicht Oeffentlicher Name,,
Property,http://arkumu.org/data/properties/nicht-oeffentlicher-name-begruendung,Nicht Oeffentlicher Name Begruendung,,
Property,http://arkumu.org/data/properties/normdatei,Normdatei,,
Property,http://arkumu.org/data/properties/nummernart-id,Nummernart Id,,
Property,http://arkumu.org/data/properties/objekttyp,Objekttyp,,
Property,http://arkumu.org/data/properties/orcid,Orcid,,
Property,http://arkumu.org/data/properties/organisationseinheit,Organisationseinheit,Organisationseinheit,
Property,http://arkumu.org/data/properties/organisationseinheit-id,Organisationseinheit Id,,
Property,http://arkumu.org/data/properties/originalsprache,Originalsprache,,
Property,http://arkumu.org/data/properties/ort-id,Ort Id,,
Property,http://arkumu.org/data/properties/pbcore-link,Pbcore Link,,
Property,http://arkumu.org/data/properties/pdf,Pdf,,
Property,http://arkumu.org/data/properties/physisches-objekt,Physisches Objekt,,
Property,http://arkumu.org/data/properties/physisches-objekt-id,Physisches Objekt Id,,
Property,http://arkumu.org/data/properties/produkt-id-typ,Produkt Id Typ,,
Property,http://arkumu.org/data/properties/produkt-id-wert,Produkt Id Wert,,
Property,http://arkumu.org/data/properties/projekt,Projekt,"HFMT_Werk_ID, HFMT_Werk_ID_fk",
Property,http://arkumu.org/data/properties/projekt-id,Projekt Id,,
Property,http://arkumu.org/data/properties/projekt-projekt-id,Projekt Projekt Id,,
Property,http://arkumu.org/data/properties/projekt-projekteigenschaft-id,Projekt Projekteigenschaft Id,,
Property,http://arkumu.org/data/properties/projektart,Projektart,,
Property,http://arkumu.org/data/properties/projektart-id,Projektart Id,,
Property,http://arkumu.org/data/properties/projekteigenschaft-id,Projekteigenschaft Id,,
Property,http://arkumu.org/data/properties/projekterstellung-beim-einlieferer,Projekterstellung Beim Einlieferer,,
Property,http://arkumu.org/data/properties/projektkategorie,Projektkategorie,Projektkategorie,
Property,http://arkumu.org/data/properties/projektkategorie,Projektkategorie,_Projekte_Exportinfos_Projektkategorien_arkumu,
Property,http://arkumu.org/data/properties/projektkategorie-id,Projektkategorie Id,,
Property,http://arkumu.org/data/properties/projektkompilation,Projektkompilation,,
Property,http://arkumu.org/data/properties/property-cardinality,Property Cardinality,,
Property,http://arkumu.org/data/properties/property-datatype,Property Datatype,,
Property,http://arkumu.org/data/properties/provenienz,Provenienz,,
Property,http://arkumu.org/data/properties/provinienz,Provinienz,,
Property,http://arkumu.org/data/properties/rechtsstatus,Rechtsstatus,_Exportvariablen_arkumuRechtsstatus,
Property,http://arkumu.org/data/properties/rolle-id,Rolle Id,,
Property,http://arkumu.org/data/properties/rollen-der-akteurin-im-ereignis,Rollen Der Akteurin Im Ereignis,Rolle,
Property,http://arkumu.org/data/properties/sammlung-id,Sammlung Id,,
